Gross_Anatomy_of_the_Lungs,Gross Anatomy of the Lungs,https://openstax.org/books/anatomy-and-physiology-2e/pages/22-2-the-lungs
Components_of_the_Digestive_System,Components of the Digestive System All digestive organs play integral roles in the life-sustaining process of digestion.,https://openstax.org/books/anatomy-and-physiology-2e/pages/23-1-overview-of-the-digestive-system
Tongue,Tongue This superior view of the tongue shows the locations and types of lingual papillae.,https://openstax.org/books/anatomy-and-physiology-2e/pages/23-3-the-mouth-pharynx-and-esophagus
Mouth,"Mouth The mouth includes the lips, tongue, palate, gums, and teeth.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-3-the-mouth-pharynx-and-esophagus
Pharynx,Pharynx The pharynx runs from the nostrils to the esophagus and the larynx.,https://openstax.org/books/anatomy-and-physiology-2e/pages/23-3-the-mouth-pharynx-and-esophagus
Esophagus,Esophagus The upper esophageal sphincter controls the movement of food from the pharynx to the esophagus. The lower esophageal sphincter controls the movement of food from the esophagus to the stomach.,https://openstax.org/books/anatomy-and-physiology-2e/pages/23-3-the-mouth-pharynx-and-esophagus
Stomach,"Stomach The stomach has four major regions: the cardia, fundus, body, and pylorus. The addition of an inner oblique smooth muscle layer gives the muscularis the ability to vigorously churn and mix food.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-4-the-stomach
Small_Intestine,"Small Intestine The three regions of the small intestine are the duodenum, jejunum, and ileum.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-5-the-small-and-large-intestines
Large_Intestine,"Large Intestine The large intestine includes the cecum, colon, and rectum.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-5-the-small-and-large-intestines
Accessory_Organs,"Accessory Organs The liver, pancreas, and gallbladder are considered accessory digestive organs, but their roles in the digestive system are vital.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-6-accessory-organs-in-digestion-the-liver-pancreas-and-gallbladder
Gallbladder,"Gallbladder The gallbladder stores and concentrates bile, and releases it into the two-way cystic duct when it is needed by the small intestine.",https://openstax.org/books/anatomy-and-physiology-2e/pages/23-6-accessory-organs-in-digestion-the-liver-pancreas-and-gallbladder
Female_and_Male_Urethras,Female and Male Urethras The urethra transports urine from the bladder to the outside of the body. This image shows (a) a female urethra and (b) a male urethra.,https://openstax.org/books/anatomy-and-physiology-2e/pages/25-2-gross-anatomy-of-urine-transport
Bladder,Bladder (a) Anterior cross section of the bladder. (b) The detrusor muscle of the bladder (source: monkey tissue) LM × 448. (Micrograph provided by the Regents of the University of Michigan Medical School © 2012),https://openstax.org/books/anatomy-and-physiology-2e/pages/25-2-gross-anatomy-of-urine-transport
Kidneys,Kidneys The kidneys are slightly protected by the ribs and are surrounded by fat for protection (not shown).,https://openstax.org/books/anatomy-and-physiology-2e/pages/25-3-gross-anatomy-of-the-kidney
Kidney_Internal,Left Kidney,https://openstax.org/books/anatomy-and-physiology-2e/pages/25-3-gross-anatomy-of-the-kidney
Anatomy_of_the_Testis,"Anatomy of the Testis This sagittal view shows the seminiferous tubules, the site of sperm production. Formed sperm are transferred to the epididymis, where they mature. They leave the epididymis during an ejaculation via the ductus deferens.",https://openstax.org/books/anatomy-and-physiology-2e/pages/27-1-anatomy-and-physiology-of-the-testicular-reproductive-system
Female_Reproductive_System,Female Reproductive System The major organs of the female reproductive system are located inside the pelvic cavity.,https://openstax.org/books/anatomy-and-physiology-2e/pages/27-2-anatomy-and-physiology-of-the-ovarian-reproductive-system
Hormone_Levels_in_Ovarian_and_Menstrual_Cycles,"Hormone Levels in Ovarian and Menstrual Cycles The correlation of the hormone levels and their effects on the female reproductive system is shown in this timeline of the ovarian and menstrual cycles. The menstrual cycle begins at day one with the start of menses. Ovulation occurs around day 14 of a 28-day cycle, triggered by the LH surge.",https://openstax.org/books/anatomy-and-physiology-2e/pages/27-2-anatomy-and-physiology-of-the-ovarian-reproductive-system
Anatomy_of_the_Breast,"Anatomy of the Breast During lactation, milk moves from the alveoli through the lactiferous ducts to the nipple.",https://openstax.org/books/anatomy-and-physiology-2e/pages/27-2-anatomy-and-physiology-of-the-ovarian-reproductive-system
